"Detector" "Sample" "Cts"
ATP5B X335.6 26111.47
HSPCB X335.6 12180.7
S100A6 X335.6 24028.9
FLOT2 X335.6 64747.61
TEGT X335.6 38842.49
UBB X335.6 9790.97
TPT1 X335.6 11841.62
CFL1 X335.6 5104.02
ACTB X335.6 3399.07
RPS13 X335.6 11454.43
RPS23 X335.6 8200.26
GAPD X335.6 5894.79
UBC X335.6 6897.57
FLJ20030 X335.6 10834.64
ATP5B X1131.1 30323.88
HSPCB X1131.1 15560.5
S100A6 X1131.1 21317.99
FLOT2 X1131.1 65571.77
TEGT X1131.1 50443.78
UBB X1131.1 11295.03
TPT1 X1131.1 12585.53
CFL1 X1131.1 4922.07
ACTB X1131.1 3419.79
RPS13 X1131.1 14257.45
RPS23 X1131.1 13438.27
GAPD X1131.1 9120.68
UBC X1131.1 7900.47
FLJ20030 X1131.1 13610.7
ATP5B X1250.1 30921.25
HSPCB X1250.1 16655.81
S100A6 X1250.1 24028.9
FLOT2 X1250.1 43246.07
TEGT X1250.1 42768.41
UBB X1250.1 12631.56
TPT1 X1250.1 12557.93
CFL1 X1250.1 5945.21
ACTB X1250.1 4839.77
RPS13 X1250.1 8964.92
RPS23 X1250.1 12668.98
GAPD X1250.1 6842.03
UBC X1250.1 9207.41
FLJ20030 X1250.1 12835.31
ATP5B X1206.1 12604.82
HSPCB X1206.1 3754.86
S100A6 X1206.1 7057.06
FLOT2 X1206.1 18972.31
TEGT X1206.1 5037.44
UBB X1206.1 5359.05
TPT1 X1206.1 8213.53
CFL1 X1206.1 2179.25
ACTB X1206.1 1623.63
RPS13 X1206.1 5476.75
RPS23 X1206.1 3439.84
GAPD X1206.1 1560.4
UBC X1206.1 2710.38
FLJ20030 X1206.1 4828.79
ATP5B X876.1 14733.78
HSPCB X876.1 9665.6
S100A6 X876.1 17503.27
FLOT2 X876.1 41616.89
TEGT X876.1 29909.31
UBB X876.1 4912.6
TPT1 X876.1 6095.82
CFL1 X876.1 4462.66
ACTB X876.1 1973
RPS13 X876.1 5678.69
RPS23 X876.1 4172.95
GAPD X876.1 6505.25
UBC X876.1 6740.97
FLJ20030 X876.1 7720.24
ATP5B X1216.1 34760.83
HSPCB X1216.1 15455.01
S100A6 X1216.1 28453.02
FLOT2 X1216.1 87697.68
TEGT X1216.1 48404.58
UBB X1216.1 12169.34
TPT1 X1216.1 12466.17
CFL1 X1216.1 6298.89
ACTB X1216.1 3954.09
RPS13 X1216.1 11073.6
RPS23 X1216.1 10326.08
GAPD X1216.1 10768.4
UBC X1216.1 6493.19
FLJ20030 X1216.1 13610.7
ATP5B X825.3 27685.22
HSPCB X825.3 13489.17
S100A6 X825.3 24028.9
FLOT2 X825.3 37437.45
TEGT X825.3 26065.69
UBB X825.3 10949.53
TPT1 X825.3 7441.49
CFL1 X825.3 4635.99
ACTB X825.3 3305.09
RPS13 X825.3 6273.49
RPS23 X825.3 6484.57
GAPD X825.3 7389.78
UBC X825.3 5978.56
FLJ20030 X825.3 6516.87
ATP5B X1264.1 40897.02
HSPCB X1264.1 20989.83
S100A6 X1264.1 42805.39
FLOT2 X1264.1 103016.73
