"Sample" "Detector" "Cts"
"A" "pr" 19.5770369645097
"A" "jw" 22.0646365991057
"A" "fu" 19.450310574944
"A" "nu" 21.7431540095199
"A" "vx" 16.4588249036377
"A" "fm" 19.8416730753588
"A" "hm" 21.7317876536367
"A" "ag" 20.2468576911983
"A" "nv" 19.396291195575
"A" "mz" 19.322440990093
"A" "ln" 17.1977835602880
"A" "os" 19.5825314175257
"A" "ho" 21.7966534656139
"A" "hr" 20.338783539671
"A" "ou" 23.211234398762
"A" "ef" 15.9271240241437
"A" "fy" 19.8462468334483
"A" "iq" 23.6135953606203
"A" "go" 22.4317019074613
"A" "tx" 21.5165269349074
"A" "jy" 20.1759907685604
"A" "ku" 21.7332604807925
"A" "ex" 20.6354301584888
"A" "iu" 17.6923861839611
"A" "cy" 23.0612680139658
"A" "ew" 19.3886532394784
"A" "no" 19.3139192979545
"A" "hn" 20.0403953418545
"A" "bh" 17.7402909126513
"A" "ip" 18.4316592530272
"A" "cm" 17.0383097270291
"A" "gy" 19.1432176728091
"A" "ai" 17.1402625014622
"A" "mo" 19.5469717942111
"A" "fj" 20.8572164216481
"A" "lx" 20.5895317717430
"A" "mw" 20.9280218524360
"A" "wy" 21.6992767822929
"A" "qt" 19.4897796389107
"A" "bm" 22.7470723882639
"A" "iv" 25.1386697119005
"A" "ry" 19.7727619097490
"A" "gw" 17.9455683863211
"A" "jx" 18.7371840182966
"A" "ox" 19.9578331158927
"A" "hk" 23.1712187742716
"A" "uw" 21.2094373238891
"A" "av" 17.3434376675670
"A" "ds" 19.8673498854476
"A" "lp" 20.0984437537486
"B" "pr" 18.7652597802219
"B" "jw" 18.3222341637347
"B" "fu" 18.7186477532976
"B" "nu" 23.0319892454732
"B" "vx" 19.4598753452135
"B" "fm" 18.8626648600795
"B" "hm" 22.1161797160706
"B" "ag" 20.3122748187506
"B" "nv" 19.4994809980066
"B" "mz" 20.4748754972695
"B" "ln" 21.9863130241865
"B" "os" 19.9552770785586
"B" "ho" 17.99470888818
"B" "hr" 24.0471222641994
"B" "ou" 20.2049174684279
"B" "ef" 18.1885365258715
"B" "fy" 18.4201767318793
"B" "iq" 17.3023818325626
"B" "go" 22.9590864839559
"B" "tx" 20.0443663966849
"B" "jy" 20.3528673812208
"B" "ku" 20.3565806694421
"B" "ex" 18.8808997137651
"B" "iu" 19.0567034321854
"B" "cy" 17.2417044198050
"B" "ew" 19.1973968224461
"B" "no" 22.4530208126427
"B" "hn" 22.2212499385552
"B" "bh" 19.1840448773277
"B" "ip" 19.0038068418632
"B" "cm" 20.1611458746131
"B" "gy" 19.0414833577219
"B" "ai" 22.8648459053688
"B" "mo" 17.9113008239401
"B" "fj" 17.8624493510341
"B" "lx" 20.073215881592
"B" "mw" 21.7461607693213
"B" "wy" 20.0642125451732
"B" "qt" 18.8100181780276
"B" "bm" 19.7301720976511
"B" "iv" 18.9391185470552
"B" "ry" 18.9636820801860
"B" "gw" 17.1459327781696
"B" "jx" 16.4666726004723
"B" "ox" 18.6403801960380
"B" "hk" 17.8881108270523
"B" "uw" 18.6580768587596
"B" "av" 20.2539954977191
"B" "ds" 24.0338659917749
"B" "lp" 17.4999896026714
